City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,laguna,38.421,-121.4238,18.99,58,100,5.14,US,1675546926
1,georgetown,5.4112,100.3354,25.96,88,20,3.09,MY,1675546926
2,roald,62.5833,6.1333,6.08,70,75,7.72,NO,1675546545
3,inhambane,-23.865,35.3833,24.36,86,9,3.79,MZ,1675546920
4,rikitea,-23.1203,-134.9692,26.08,74,2,6.17,PF,1675546547
5,turukhansk,65.8167,87.9833,-13.28,96,97,2.84,RU,1675546616
6,ginir,7.1333,40.7,15.05,26,30,1.61,ET,1675546930
7,busselton,-33.65,115.3333,22.63,43,75,3.19,AU,1675546651
8,vorobyevka,50.6451,40.9245,-5.29,96,98,4.25,RU,1675546931
9,parrita,9.5201,-84.3225,29.22,60,9,2.62,CR,1675546931
10,new norfolk,-42.7826,147.0587,15.95,63,13,0.45,AU,1675546660
11,yellowknife,62.456,-114.3525,-26.71,69,75,0.0,CA,1675546933
12,arraial do cabo,-22.9661,-42.0278,28.98,74,0,6.17,BR,1675546933
13,kyrylivka,46.3759,35.3675,1.55,71,98,5.35,UA,1675546934
14,lerwick,60.1545,-1.1494,7.0,67,56,10.38,GB,1675546935
15,punta arenas,-53.15,-70.9167,10.06,93,100,4.12,CL,1675546725
16,skegness,53.1436,0.3363,8.04,81,100,5.44,GB,1675546937
17,atuona,-9.8,-139.0333,26.03,72,38,8.46,PF,1675546941
18,nikolskoye,59.7035,30.7861,-3.06,93,99,3.11,RU,1675546941
19,kodiak,57.79,-152.4072,-1.27,80,0,0.0,US,1675546942
20,mar del plata,-38.0023,-57.5575,21.64,68,0,5.66,AR,1675546943
21,sibolga,1.7427,98.7792,24.29,86,100,1.43,ID,1675546944
22,vaini,-21.2,-175.2,29.09,79,40,4.12,TO,1675546945
23,tuktoyaktuk,69.4541,-133.0374,-41.0,66,0,0.0,CA,1675546946
24,ketrzyn,54.0768,21.3753,-3.84,79,20,4.74,PL,1675546947
25,upernavik,72.7868,-56.1549,-21.41,96,100,2.19,GL,1675546947
26,khatanga,71.9667,102.5,-38.92,100,52,2.17,RU,1675546948
27,qaanaaq,77.484,-69.3632,-19.66,62,85,2.42,GL,1675546677
28,longyearbyen,78.2186,15.6401,-8.09,62,0,10.29,SJ,1675546905
29,luderitz,-26.6481,15.1594,17.62,85,27,6.76,NA,1675546921
30,kikwit,-5.041,18.8162,21.37,95,100,0.72,CD,1675546949
31,narsaq,60.9167,-46.05,-2.88,87,100,6.06,GL,1675546653
32,oistins,13.0667,-59.5333,27.05,74,75,9.26,BB,1675546901
33,karratha,-20.7377,116.8463,31.11,47,61,2.67,AU,1675546951
34,sinnar,13.5691,33.5672,23.72,21,94,5.73,SD,1675546951
35,panama city,8.9936,-79.5197,30.97,53,40,9.26,PA,1675546952
36,dikson,73.5069,80.5464,-19.98,98,100,1.49,RU,1675546789
37,fortuna,40.5982,-124.1573,16.66,60,75,7.72,US,1675546952
38,padang,-0.9492,100.3543,24.03,86,100,1.35,ID,1675546902
39,kapaa,22.0752,-159.319,22.18,94,100,5.66,US,1675546953
40,port hedland,-20.3167,118.5667,25.03,88,17,4.12,AU,1675546798
41,tuatapere,-46.1333,167.6833,19.48,93,100,1.71,NZ,1675546954
42,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675546954
43,ushuaia,-54.8,-68.3,11.81,58,75,5.14,AR,1675546955
44,ancud,-41.8697,-73.8203,20.12,68,53,1.92,CL,1675546955
45,ilulissat,69.2167,-51.1,-17.99,65,75,2.06,GL,1675546819
46,port elizabeth,-33.918,25.5701,24.1,62,100,0.65,ZA,1675546716
47,odweyne,9.4092,45.064,17.55,27,71,5.3,SO,1675546956
48,airai,-8.9266,125.4092,15.75,90,99,1.01,TL,1675546957
49,villaviciosa,43.4813,-5.4357,11.09,88,50,3.14,ES,1675546957
50,copiapo,-27.3667,-70.3333,22.83,47,35,3.71,CL,1675546682
51,jamestown,42.097,-79.2353,-3.03,32,0,6.17,US,1675546570
52,saldanha,-33.0117,17.9442,19.03,96,91,6.84,ZA,1675546958
53,durban,-29.8579,31.0292,24.45,88,0,0.89,ZA,1675546863
54,lang suan,9.9456,99.0785,24.34,90,94,3.16,TH,1675546959
55,vaijapur,19.9167,74.7333,19.09,30,0,1.12,IN,1675546959
56,port alfred,-33.5906,26.891,23.43,89,100,0.45,ZA,1675546959
57,barabinsk,55.3571,78.357,-21.61,100,100,1.71,RU,1675546960
58,ribeira grande,38.5167,-28.7,17.1,94,20,4.92,PT,1675546960
59,iqaluit,63.7506,-68.5145,-36.84,65,40,6.17,CA,1675546961
60,yerbogachen,61.2767,108.0108,-27.56,100,93,1.14,RU,1675546961
61,hilo,19.7297,-155.09,24.03,93,75,2.57,US,1675546962
62,coquimbo,-29.9533,-71.3436,22.85,64,0,4.63,CL,1675546962
63,mataura,-46.1927,168.8643,21.93,72,100,1.67,NZ,1675546963
64,thompson,55.7435,-97.8558,-18.91,65,20,1.54,CA,1675546963
65,hithadhoo,-0.6,73.0833,27.51,71,95,6.66,MV,1675546963
66,severodvinsk,64.5635,39.8302,-11.91,99,74,2.72,RU,1675546869
67,hauterive,46.0901,3.4459,8.42,96,99,2.28,FR,1675546964
68,sayyan,15.1718,44.3244,11.69,54,33,0.36,YE,1675546965
69,koslan,63.4564,48.8989,-15.16,98,100,0.88,RU,1675546965
70,college,64.8569,-147.8028,-11.03,76,75,1.54,US,1675546897
71,henties bay,-22.116,14.2845,17.98,87,98,2.82,NA,1675546966
72,husavik,66.0449,-17.3389,-2.89,73,22,6.39,IS,1675546672
73,bredasdorp,-34.5322,20.0403,20.93,81,0,3.64,ZA,1675546967
74,ossora,59.2353,163.0719,-18.79,88,100,1.47,RU,1675546967
75,saurimo,-9.6608,20.3916,17.13,98,99,1.47,AO,1675546969
76,kirakira,-10.4544,161.9205,28.84,77,54,2.09,SB,1675546912
77,guanaja,16.4,-85.9,26.34,68,4,4.73,HN,1675546969
78,guerrero negro,27.9769,-114.0611,20.88,35,0,4.75,MX,1675546680
79,barrow,71.2906,-156.7887,-30.99,76,20,3.6,US,1675546970
80,anadyr,64.75,177.4833,-29.72,69,0,7.0,RU,1675546971
81,sao filipe,14.8961,-24.4956,22.12,63,28,6.42,CV,1675546797
82,mahajanga,-15.7167,46.3167,24.01,88,40,4.12,MG,1675546971
83,champerico,14.3,-91.9167,33.3,61,3,5.09,GT,1675546972
84,abu samrah,35.3029,37.1841,5.33,81,100,0.59,SY,1675546744
85,avarua,-21.2078,-159.775,29.03,79,20,5.66,CK,1675546898
86,bluff,-46.6,168.3333,17.55,94,100,5.61,NZ,1675546973
87,kuusamo,65.9667,29.1833,-11.98,85,100,3.09,FI,1675546973
88,bellevue,47.6104,-122.2007,12.55,81,100,2.06,US,1675546792
89,albany,42.6001,-73.9662,-11.17,44,66,1.97,US,1675546974
90,bambous virieux,-20.3428,57.7575,26.14,89,40,2.06,MU,1675546974
91,venkatagiri,13.9667,79.5833,20.04,81,1,1.22,IN,1675546975
92,hamilton,39.1834,-84.5333,9.35,36,100,6.69,US,1675546425
93,port macquarie,-31.4333,152.9167,22.16,62,0,1.03,AU,1675546975
94,oshkosh,44.0247,-88.5426,-1.7,67,0,5.14,US,1675546721
95,lashio,22.9333,97.75,11.21,69,15,0.61,MM,1675546976
96,rome,34.257,-85.1647,12.73,35,0,3.6,US,1675546086
97,shebalino,51.2917,85.6772,-5.23,97,100,0.31,RU,1675546977
98,carnarvon,-24.8667,113.6333,25.62,71,1,2.06,AU,1675546788
99,magadan,59.5667,150.8,-25.37,82,47,2.89,RU,1675546977
100,ponta do sol,32.6667,-17.1,17.06,58,18,4.32,PT,1675546978
101,tecoanapa,16.5167,-98.75,28.71,59,2,4.26,MX,1675546978
102,nhulunbuy,-12.2333,136.7667,23.34,94,40,0.0,AU,1675546979
103,nosy varika,-20.5833,48.5333,23.15,91,99,1.3,MG,1675546979
104,mayya,61.7333,130.2811,-43.38,100,99,1.36,RU,1675546980
105,camacha,33.0833,-16.3333,14.68,67,40,7.2,PT,1675546782
106,cape town,-33.9258,18.4232,21.73,88,40,2.57,ZA,1675546775
107,the pas,53.8251,-101.2541,-13.99,72,100,1.54,CA,1675546981
108,baruun-urt,46.6806,113.2792,-19.92,89,30,1.13,MN,1675546981
109,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1675546982
110,hermanus,-34.4187,19.2345,20.45,92,23,3.01,ZA,1675546983
111,cidreira,-30.1811,-50.2056,24.29,70,64,4.62,BR,1675546738
112,torbay,47.6666,-52.7314,-13.18,80,75,13.38,CA,1675546799
113,hienghene,-20.6833,164.9333,27.74,81,72,5.88,NC,1675546985
114,lompoc,34.6391,-120.4579,20.08,71,0,2.57,US,1675546738
115,alice springs,-23.7,133.8833,11.75,87,2,2.06,AU,1675546919
116,ust-ilimsk,58.0006,102.6619,-14.59,96,100,2.16,RU,1675546986
117,komsomolskiy,40.4272,71.7189,4.4,87,100,3.09,UZ,1675546774
118,ariquemes,-9.9133,-63.0408,25.69,88,81,0.42,BR,1675546987
119,huilong,31.8111,121.655,3.85,80,100,3.08,CN,1675546988
120,luanda,-8.8368,13.2343,28.0,74,75,3.6,AO,1675546769
121,butaritari,3.0707,172.7902,27.38,80,56,8.62,KI,1675546743
122,catamarca,-28.4696,-65.7852,27.65,57,86,1.79,AR,1675546875
123,belmonte,-15.8631,-38.8828,26.68,80,2,4.78,BR,1675546989
124,constitucion,-35.3333,-72.4167,19.0,78,29,2.19,CL,1675546796
125,castro,-24.7911,-50.0119,18.6,92,80,2.43,BR,1675546741
126,gimli,50.6336,-96.9907,-11.99,72,100,1.03,CA,1675546991
127,hobart,-42.8794,147.3294,16.7,66,14,1.34,AU,1675546991
128,nanakuli,21.3906,-158.1547,23.03,80,100,3.6,US,1675546993
129,port augusta,-32.5,137.7667,19.31,49,1,2.42,AU,1675546994
130,vao,-22.6667,167.4833,26.32,87,90,8.85,NC,1675546973
131,kupang,-10.1667,123.5833,23.32,100,100,7.72,ID,1675546996
132,saskylakh,71.9167,114.0833,-36.88,99,87,1.37,RU,1675546722
133,palmaner,13.2,78.75,17.07,79,2,0.64,IN,1675546997
134,san patricio,28.017,-97.5169,21.2,56,40,4.59,US,1675546998
135,baykit,61.67,96.37,-16.58,100,99,0.95,RU,1675546999
136,santa rosa,14.3122,121.1114,24.45,78,97,3.48,PH,1675547000
137,kaniama,-7.5667,24.1833,17.47,97,93,1.49,CD,1675547002
138,klaksvik,62.2266,-6.589,3.51,73,43,15.06,FO,1675546926
139,ulsteinvik,62.3432,5.8487,6.07,82,100,7.15,NO,1675547004
140,provideniya,64.3833,-173.3,-19.58,88,100,4.87,RU,1675547005
141,souillac,-20.5167,57.5167,26.21,89,40,2.06,MU,1675547006
142,esperance,-33.8667,121.9,17.63,69,0,6.27,AU,1675546771
143,diamantino,-14.4086,-56.4461,23.11,94,100,1.9,BR,1675547007
144,richland,40.7834,-82.5499,3.39,45,0,10.29,US,1675547008
145,imbituba,-28.24,-48.6703,23.72,83,39,3.42,BR,1675547009
146,ilovlya,49.3033,43.9796,-3.35,96,100,3.13,RU,1675547009
147,zeya,53.75,127.2667,-31.01,100,61,1.22,RU,1675547010
148,caruray,10.3094,119.0128,25.08,88,100,4.3,PH,1675547010
149,asau,46.4333,26.4,-3.49,92,100,5.51,RO,1675546882
150,yingkou,40.6648,122.2283,-3.18,60,1,5.02,CN,1675547011
151,labuhan,-6.8844,112.2051,24.92,88,100,2.87,ID,1675546895
152,saint george,37.1041,-113.5841,16.35,32,0,1.54,US,1675546718
153,neka,36.6508,53.299,8.24,51,100,1.66,IR,1675547012
154,puerto el triunfo,13.2833,-88.55,38.48,37,44,1.57,SV,1675547013
155,jiangkou,25.4872,119.1986,11.76,88,100,3.0,CN,1675547013
156,beidao,34.5686,105.8933,4.6,70,98,1.31,CN,1675547014
157,ostrovnoy,68.0531,39.5131,-10.53,85,100,5.51,RU,1675546799
158,santarem,-2.4431,-54.7083,29.07,79,20,1.54,BR,1675547015
159,quatre cocos,-20.2078,57.7625,26.06,85,71,4.05,MU,1675547015
160,yanam,16.7333,82.2167,18.6,90,4,1.26,IN,1675547016
161,sinnamary,5.3833,-52.95,24.91,88,100,7.35,GF,1675546916
162,waingapu,-9.6567,120.2641,24.4,92,100,4.73,ID,1675547016
163,pembroke,45.8168,-77.1162,-13.76,88,100,4.0,CA,1675547011
164,makakilo city,21.3469,-158.0858,22.23,87,100,4.12,US,1675547017
165,chuy,-33.6971,-53.4616,20.26,80,3,6.96,UY,1675546848
166,kaitangata,-46.2817,169.8464,21.32,70,100,1.93,NZ,1675546905
167,soddy-daisy,35.2359,-85.1908,11.01,43,100,3.0,US,1675546933
168,dharchula,29.85,80.5333,9.85,32,1,3.78,IN,1675547018
169,puerto escondido,15.85,-97.0667,28.46,69,20,3.09,MX,1675546789
170,san andres,12.5847,-81.7006,29.01,65,40,5.66,CO,1675546982
171,harper,4.375,-7.7169,26.06,85,9,3.02,LR,1675547019
172,saint-philippe,-21.3585,55.7679,25.77,86,98,4.39,RE,1675547020
173,marienburg,54.0359,19.0266,-0.62,86,87,1.59,PL,1675547020
174,alofi,-19.0595,-169.9187,27.94,78,100,3.6,NU,1675546856
175,verkhniy avzyan,53.5289,57.5372,-18.84,93,75,1.29,RU,1675547021
176,fountain,38.6822,-104.7008,17.25,14,0,7.2,US,1675547021
177,lanzhou,36.0564,103.7922,2.17,40,100,1.11,CN,1675547022
178,north bend,43.4065,-124.2243,13.95,72,75,3.09,US,1675546913
179,avera,33.194,-82.5271,11.32,42,50,2.93,US,1675547022
180,faanui,-16.4833,-151.75,27.49,72,64,8.36,PF,1675547023
181,springfield,37.2153,-93.2982,10.3,52,0,8.23,US,1675547023
182,savannah bight,16.45,-85.85,26.35,68,4,4.69,HN,1675547024
183,aswan,24.0934,32.907,14.61,30,0,3.6,EG,1675547024
184,lasa,46.6166,10.7002,2.49,80,36,4.04,IT,1675547025
185,kaeo,-35.1,173.7833,20.68,83,97,3.38,NZ,1675546775
186,caceres,39.522,-6.3748,6.09,73,0,1.44,ES,1675546771
187,byron bay,-28.65,153.6167,26.08,77,100,3.8,AU,1675546729
188,lagoa,39.05,-27.9833,15.07,88,3,8.31,PT,1675547026
189,jalalabad,34.4265,70.4515,7.99,44,34,2.61,AF,1675547026
190,kloulklubed,7.0419,134.2556,27.96,76,98,8.1,PW,1675546779
191,kearney,40.6995,-99.0815,5.95,58,0,8.23,US,1675546740
192,tadine,-21.55,167.8833,28.02,84,99,8.07,NC,1675547027
193,oxford,51.7522,-1.256,8.44,89,100,1.54,GB,1675547028
194,halifax,44.6453,-63.5724,-14.0,69,81,11.32,CA,1675546553
195,santa cruz,-17.8,-63.1667,28.03,61,75,3.09,BO,1675547020
196,tromso,69.6496,18.957,0.21,74,0,4.63,NO,1675547029
197,shubarkuduk,49.1447,56.4872,-14.95,89,94,4.79,KZ,1675546988
198,antalaha,-14.9003,50.2788,24.0,88,28,2.33,MG,1675547029
199,tasiilaq,65.6145,-37.6368,-3.91,82,100,8.6,GL,1675546794
200,ciudad guayana,8.3533,-62.6528,27.51,75,79,4.66,VE,1675547030
201,hualmay,-11.0964,-77.6139,23.77,76,95,3.38,PE,1675547031
202,leh,34.1667,77.5833,-15.51,83,77,0.99,IN,1675547031
203,akyab,20.15,92.9,17.16,63,83,3.64,MM,1675547031
204,kharakvasla,18.4333,73.7667,20.12,35,8,1.01,IN,1675547032
205,pevek,69.7008,170.3133,-37.42,100,93,0.74,RU,1675547032
206,te anau,-45.4167,167.7167,18.85,98,100,1.19,NZ,1675546814
207,xushan,30.1764,121.2457,8.87,95,100,2.4,CN,1675547033
208,sept-iles,50.2001,-66.3821,-18.86,69,75,10.29,CA,1675546957
209,kulhudhuffushi,6.6221,73.07,26.67,78,100,2.08,MV,1675547034
210,pontianak,-0.0333,109.3333,23.99,94,100,0.51,ID,1675547034
211,hohhot,40.8106,111.6522,-10.84,62,0,2.0,CN,1675547035
212,gushikawa,26.3544,127.8686,16.57,94,75,3.6,JP,1675547012
213,east london,-33.0153,27.9116,23.7,83,100,5.29,ZA,1675546908
214,katherine,-14.4667,132.2667,23.18,94,37,0.0,AU,1675547036
215,geraldton,-28.7667,114.6,21.23,94,75,3.09,AU,1675546917
216,roma,43.2128,-75.4557,-10.66,51,100,5.14,US,1675546986
217,yakima,46.4665,-120.6678,7.53,71,20,0.0,US,1675547037
218,esmeraldas,-19.7625,-44.3139,32.06,75,36,0.71,BR,1675547038
219,paamiut,61.994,-49.6678,-4.13,77,100,12.53,GL,1675547039
220,inongo,-1.95,18.2667,24.09,83,100,3.1,CD,1675547039
221,haines junction,60.7522,-137.5108,-9.03,67,100,0.51,CA,1675547040
222,katsuura,35.1333,140.3,6.33,68,8,6.03,JP,1675547040
223,loa janan,-0.583,117.095,22.46,98,100,1.05,ID,1675547041
224,salinopolis,-0.6136,-47.3561,25.71,87,98,5.44,BR,1675546826
225,ugoofaaru,5.6667,73.0,26.94,76,100,2.51,MV,1675546964
226,sitapur,27.5667,80.6833,12.77,60,0,3.36,IN,1675547042
227,along,28.1667,94.7667,10.94,56,20,0.73,IN,1675547042
228,mahebourg,-20.4081,57.7,26.16,89,40,2.06,MU,1675546893
229,puerto ayora,-0.7393,-90.3518,29.98,88,51,3.13,EC,1675547044
230,tabuk,17.4189,121.4443,18.43,88,94,1.4,PH,1675547044
231,bati,11.1833,40.0167,17.96,55,22,1.6,ET,1675547045
232,arlit,18.7369,7.3853,22.64,11,17,5.05,NE,1675547046
233,okhotsk,59.3833,143.3,-26.86,82,40,4.97,RU,1675547000
234,sabzevar,36.2126,57.6819,3.82,40,51,2.4,IR,1675547047
235,waipawa,-41.4122,175.5153,23.22,64,13,3.3,NZ,1675547048
236,tobol,52.6844,62.5794,-21.31,100,57,2.73,KZ,1675547049
237,villamartin,36.8598,-5.6449,11.31,81,0,1.4,ES,1675547050
238,tooele,40.5308,-112.2983,7.21,66,70,1.13,US,1675547050
239,srivardhan,18.0333,73.0167,22.84,54,1,1.59,IN,1675547051
240,nanortalik,60.1432,-45.2371,-3.53,74,99,7.48,GL,1675547052
241,lavrentiya,65.5833,-171.0,-24.59,94,93,3.02,RU,1675547052
242,nanyang,32.9947,112.5328,2.14,79,41,1.46,CN,1675547053
243,namibe,-15.1961,12.1522,21.66,76,64,3.38,AO,1675547054
244,manggar,-2.8833,108.2667,25.28,88,100,2.61,ID,1675547055
245,vila velha,-20.3297,-40.2925,27.97,84,0,7.2,BR,1675546973
246,bilma,18.6853,12.9164,22.46,16,31,2.33,NE,1675547057
247,los llanos de aridane,28.6585,-17.9182,13.96,68,20,3.6,ES,1675547058
248,santa isabel,-23.3156,-46.2214,27.84,86,98,3.36,BR,1675547059
249,sovetskaya gavan,48.9723,140.2878,-22.44,94,35,1.83,RU,1675547059
250,chokurdakh,70.6333,147.9167,-30.92,97,75,3.61,RU,1675546791
251,oriximina,-1.7656,-55.8661,26.19,81,90,1.35,BR,1675547061
252,port hardy,50.6996,-127.4199,8.1,93,75,10.29,CA,1675546955
253,chulym,55.0997,80.9572,-21.16,100,100,1.8,RU,1675547066
254,buraydah,26.326,43.975,13.25,33,0,5.82,SA,1675547067
255,nemuro,43.3236,145.575,-5.85,74,35,3.74,JP,1675547068
256,gamba,-2.65,10.0,24.42,90,99,1.78,GA,1675547068
257,arawa,-6.2132,155.5367,25.66,89,99,1.0,PG,1675547069
258,kodinsk,58.6881,99.1844,-14.18,98,99,1.14,RU,1675547070
259,deputatskiy,69.3,139.9,-35.21,99,95,1.66,RU,1675547070
260,corum,40.5,34.75,-6.34,94,100,0.9,TR,1675547071
261,kindu,-2.95,25.95,21.16,97,86,1.71,CD,1675546797
262,wenling,28.3669,121.36,7.58,91,100,3.64,CN,1675547072
263,whitehorse,60.7161,-135.0538,-10.66,82,75,2.06,CA,1675547010
264,coihaique,-45.5752,-72.0662,28.97,26,20,4.63,CL,1675547072
265,eirunepe,-6.6603,-69.8736,24.82,92,94,1.31,BR,1675547073
266,kidal,18.4411,1.4078,21.45,10,97,5.28,ML,1675546958
267,vanimo,-2.6741,141.3028,25.69,86,100,1.51,PG,1675547073
268,ryotsu,38.0833,138.4333,1.86,60,60,4.63,JP,1675547074
269,panji,-7.7253,114.0995,23.67,90,100,1.79,ID,1675547075
270,severo-kurilsk,50.6789,156.125,-3.09,73,100,2.71,RU,1675546906
271,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.67,66,40,4.0,RU,1675547076
272,dombarovskiy,50.7587,59.5386,-20.27,90,22,2.89,RU,1675547076
273,boa vista,2.8197,-60.6733,29.99,58,40,2.57,BR,1675546795
274,sorland,67.667,12.6934,2.92,91,100,18.0,NO,1675547077
275,skjervoy,70.0311,20.9714,-1.0,65,99,6.32,NO,1675547077
276,lar,26.2039,83.9717,11.17,65,2,2.7,IN,1675547078
277,sibu,2.3,111.8167,23.17,100,40,2.57,MY,1675547078
278,codrington,-38.2667,141.9667,15.15,78,100,2.61,AU,1675547079
279,zunyi,27.6867,106.9072,5.6,90,100,1.7,CN,1675547079
280,vila franca do campo,37.7167,-25.4333,14.23,84,3,3.2,PT,1675547080
281,markivka,49.5229,39.5705,-2.38,98,95,1.53,UA,1675547080
282,taraza,7.5836,-75.4007,29.59,67,98,1.52,CO,1675547081
283,mount isa,-20.7333,139.5,22.87,35,98,5.14,AU,1675547082
284,fort nelson,58.8053,-122.7002,-13.92,71,75,0.89,CA,1675547082
285,jackson,42.4165,-122.8345,16.19,45,0,1.54,US,1675546817
286,ladario,-19.0047,-57.6017,28.16,78,75,2.57,BR,1675547083
287,cockburn town,21.4612,-71.1419,25.98,65,40,6.17,TC,1675546970
288,fairbanks,64.8378,-147.7164,-11.02,77,100,1.54,US,1675546790
